MMS Id,Location Name,Normalized Call Number,Permanent Call Number,Summary Holding,ISSN,Title,Num of Items (In Repository),Num of Loans (In House + Not In House),Author
991003708419702920,Main Collection,"0r""121 d73 1994",R121 .D73 1994,BOUND : 1994.,,Dorland's illustrated medical dictionary.,1,1,
991003666759702920,Research Help - 2nd Floor,"0r""121 t18",R121 .T18,BOUND : 15th; 1985.  18th; 1997.,1065-1357; 10651357,Taber's cyclopedic medical dictionary.,2,0,
991002983399702920,Main Collection,0ra 8 a265,RA8 .A265,BOUND : 1998-1999.,1020-3311; 10203311,The world health report : report of the Director-General.,2,7,
991003675159702920,Main Collection,0ra#1231 r2 i2,RA1231.R2 I2,"BOUND : v.3-12, 14-15, 17-58, 60-61.",1878-0377; 18780377; 0074-2740; 00742740,ICRP publication.,1,0,
991002842099702920,Main Collection,0rc!46 h32,RC46 .H32,LIBRARY RETAINS LATEST TWO EDITIONS ONLY.,,Harrison's principles of internal medicine.,5,42,
991003692239702920,Main Collection,0rc!60 m4,RC60 .M4,"BOUND : v.61, no.2-v.61, no.6.",1557-9859; 15579859; 0025-7125; 00257125,Medical clinics of North America.,1,0,
991003650999702920,Main Collection,"0rc""271 c5 a238",RC271.C5 A238,BOUND : v.1.,0190-4817; 01904817,Advances in cancer chemotherapy.,1,9,
991003741169702920,Main Collection,"0rc""327 i525",RC327 .I525,"BOUND : v.1-5, 9.",0069-5769; 00695769,Proceedings.,6,5,International Congress of Neuro-psychopharmacology.
991003693399702920,Main Collection,"0rc""331 i55",RC331 .I55,"BOUND : v.4, pt.2-v.8, pt.2.",0020-8426; 00208426,International psychiatry clinics.,1,0,
991003737909702920,Main Collection,"0rc""489 b4 a56",RC489.B4 A56,HOLDINGS: v.11-12.,0091-6595; 00916595; 0899-3378; 08993378,Review of behavior therapy.,2,6,
991003648769702920,Main Collection,"0rc""489 b4 b4357",RC489.B4 B4357,"BOUND : 1979, 1981.",0191-5681; 01915681,Behavioral group therapy.,2,10,
991003745779702920,Main Collection,"0rj""499 a1 c427",RJ499.A1 C427,BOUND : v.1-2.,0093-2175; 00932175,Child personality & psychopathology: Current topics.,2,11,
991003740939702920,Main Collection,"0rj""503.3 a37",RJ503.3 .A37,BOUND : v.1-3.,0149-4732; 01494732,Advances in clinical child psychology.,3,8,
